date, 2.12.0-RC2, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-RC1, 2.12.0-M5, 2.12.0-M4-9901daf, 2.12.0-M4, 2.12.0-M3-dc9effe, 2.12.0-M3, 2.12.0-M2, 2.12.0-M1, 2.11.8, 2.11.7, 2.11.6, 2.11.5, 2.11.4, 2.11.3, 2.11.2, 2.11.1, 2.11.0, 2.11.0-RC4, 2.11.0-RC3, 2.11.0-RC1, 2.11.0-M8, 2.11.0-M7, 2.11.0-M6, 2.11.0-M5, 2.11.0-M4, 2.11.0-M3, 2.11.0-M2, 2.11.0-M1, 2.11.2, 2.11.1, 2.11.0, 2.11.0-RC4, 2.11.0-RC3, 2.11.0-RC1, 2.11.0-M8, 2.11.0-M7, 2.11.0-M6, 2.11.0-M5, 2.11.0-M4, 2.11.0-M3, 2.11.0-M2, 2.11.0-M1, 2.10.6, 2.10.5, 2.10.4, 2.10.4-RC3, 2.10.4-RC2, 2.10.4-RC1, 2.10.3, 2.10.3-RC3, 2.10.3-RC2, 2.10.3-RC1, 2.10.2, 2.10.2-RC2, 2.10.2-RC1, 2.10.1, 2.10.1-RC3, 2.10.1-RC2, 2.10.1-RC1, 2.10.0, 2.10.0-RC5, 2.10.0-RC4, 2.10.0-RC3, 2.10.0-RC2, 2.10.0-RC1, 2.10.0-M7, 2.10.0-M6, 2.10.4, 2.10.4-RC3, 2.10.4-RC2, 2.10.4-RC1, 2.10.3, 2.10.3-RC3, 2.10.3-RC2, 2.10.3-RC1, 2.10.2, 2.10.2-RC2, 2.10.2-RC1, 2.10.1, 2.10.1-RC3, 2.10.1-RC2, 2.10.1-RC1, 2.10.0, 2.10.0-RC5, 2.10.0-RC4, 2.10.0-RC3, 2.10.0-RC2, 2.10.0-RC1, 2.10.0-M7, 2.10.0-M6, 2.10.0-M5, 2.10.0-M4, 2.10.0-M3, 2.10.0-M2, 2.10.0-M1
-1/-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2012/1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
2012/4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
2012/5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
2012/6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 3
2012/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 3, 2, 1, 3
2012/8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 10, 3, 2, 1, 3
2012/9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27, 10, 3, 2, 1, 3
2012/10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 27, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 27, 10, 3, 2, 1, 3
2012/11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 61, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 7, 7, 27, 8, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 7, 7, 27, 10, 3, 2, 1, 3
